Date,Open,High,Low,Close,Adj Close,Volume
2024-11-8,13.25,13.34,13.10,13.19,13.19,4781311
2024-11-7,13.60,13.70,13.19,13.27,13.27,13751044
2024-11-6,13.91,14.02,13.43,13.77,13.77,19978305
2024-11-5,14.24,14.36,14.17,14.31,14.31,3370731
2024-11-4,14.11,14.27,14.11,14.26,14.26,3487087
2024-11-1,14.05,14.23,14.05,14.13,14.13,3905940
2024-10-31,13.94,14.09,13.76,14.09,14.09,6584876
2024-10-30,14.02,14.02,13.80,13.98,13.98,4761882
2024-10-29,14.19,14.27,14.06,14.12,14.12,3989305
2024-10-28,14.11,14.20,13.93,14.10,14.10,4203100
2024-10-25,14.02,14.14,13.98,14.00,14.00,2905096
2024-10-24,14.11,14.20,14.05,14.06,14.06,2767100
2024-10-23,14.14,14.20,14.08,14.10,14.10,2551322
2024-10-22,14.25,14.27,14.02,14.16,14.16,4224289
2024-10-21,14.26,14.35,14.25,14.27,14.27,2957644
2024-10-18,14.20,14.41,14.17,14.31,14.31,4511446
2024-10-17,14.07,14.30,14.07,14.27,14.27,4864313
2024-10-16,13.95,14.10,13.91,14.06,14.06,5471902
2024-10-15,13.90,14.06,13.89,14.02,14.02,5163285
2024-10-14,13.80,13.90,13.68,13.88,13.88,4333458
2024-10-11,13.74,13.88,13.71,13.81,13.81,5726320
2024-10-10,13.95,14.06,13.86,13.88,13.88,4118424
2024-10-9,13.91,13.97,13.76,13.94,13.94,4158048
2024-10-8,13.75,13.97,13.74,13.86,13.86,5106629
2024-10-7,13.73,13.82,13.65,13.78,13.78,5941719
2024-10-4,13.48,13.72,13.48,13.61,13.61,7267991
2024-10-3,13.54,13.63,13.37,13.48,13.48,6027454
2024-10-2,13.60,13.73,13.53,13.60,13.60,5199700
2024-10-1,13.80,13.88,13.48,13.66,13.66,7416522
2024-09-30,13.85,13.85,13.56,13.73,13.73,6667785
2024-09-27,13.95,14.05,13.83,13.96,13.96,4219229
2024-09-26,13.88,14.05,13.88,13.99,13.99,4814418
2024-09-25,13.87,13.90,13.72,13.81,13.81,4566975
2024-09-24,13.85,14.08,13.85,13.95,13.95,6197651
2024-09-23,14.43,14.44,13.64,13.81,13.81,11062064
2024-09-20,14.40,14.56,14.31,14.46,14.46,8562060
2024-09-19,14.50,14.52,14.34,14.40,14.40,3437617
2024-09-18,14.36,14.47,14.36,14.40,14.40,2285016
2024-09-17,14.35,14.48,14.32,14.36,14.36,3257420
2024-09-16,14.19,14.27,14.17,14.26,14.26,2273925
2024-09-13,14.28,14.36,14.23,14.23,14.23,3613542
2024-09-12,14.34,14.41,14.21,14.27,14.27,3489135
2024-09-11,14.24,14.31,14.07,14.19,14.19,3532258
2024-09-10,14.28,14.41,14.11,14.16,14.16,4001832
2024-09-9,14.18,14.32,14.16,14.27,14.27,3498981
2024-09-6,14.18,14.30,14.03,14.13,14.13,4303259
2024-09-5,13.98,14.32,13.97,14.20,14.20,4541313
2024-09-4,13.85,14.09,13.82,14.03,14.03,3734057
2024-09-3,14.13,14.18,13.84,14.01,14.01,4378257
2024-09-2,14.17,14.23,14.03,14.15,14.15,2687643
2024-08-30,13.94,14.15,13.94,14.15,14.15,7523192
2024-08-29,13.75,13.89,13.75,13.80,13.80,2518993
2024-08-28,13.80,13.82,13.73,13.76,13.76,1880807
2024-08-27,13.69,13.79,13.67,13.72,13.72,1938298
2024-08-26,13.73,13.75,13.65,13.69,13.69,1875947
2024-08-23,13.64,13.72,13.59,13.72,13.72,2930214
2024-08-22,13.58,13.65,13.52,13.60,13.60,2028381
2024-08-21,13.51,13.65,13.51,13.58,13.58,1753290
2024-08-20,13.59,13.62,13.47,13.53,13.53,2773594
2024-08-19,13.53,13.66,13.52,13.56,13.56,3548869
2024-08-16,13.52,13.57,13.44,13.51,13.51,3428750
2024-08-15,13.34,13.55,13.31,13.47,13.47,4915513
2024-08-14,13.30,13.31,13.24,13.31,13.31,2933970
2024-08-13,13.26,13.27,13.15,13.23,13.23,2157706
2024-08-12,13.18,13.24,13.13,13.20,13.20,2566547
2024-08-9,13.20,13.25,13.05,13.13,13.13,2565491
2024-08-8,13.08,13.19,12.96,13.15,13.15,3159965
2024-08-7,13.03,13.29,12.95,13.13,13.13,7002008
2024-08-6,13.19,13.20,12.74,12.86,12.86,4522392
2024-08-5,12.60,13.00,12.40,12.96,12.96,9933665
2024-08-2,13.85,13.85,12.93,13.19,13.19,14992823
2024-08-1,14.30,14.36,13.81,13.97,13.97,5990897
2024-07-31,14.00,14.07,13.91,14.03,14.03,4630202
2024-07-30,13.89,13.99,13.83,13.93,13.93,3211073
2024-07-29,13.93,14.01,13.78,13.90,13.90,3433608
2024-07-26,13.84,13.94,13.77,13.89,13.89,3132924
2024-07-25,13.86,13.87,13.59,13.87,13.87,4697366
2024-07-24,14.00,14.03,13.74,13.98,13.98,3497365
2024-07-23,14.00,14.10,13.91,14.04,14.04,3714923
2024-07-22,13.90,14.06,13.86,13.96,13.96,3919297
2024-07-19,13.84,13.89,13.75,13.88,13.88,3347708
2024-07-18,13.88,13.97,13.83,13.91,13.91,4200454
2024-07-17,13.69,13.80,13.64,13.72,13.72,3137976
2024-07-16,13.56,13.69,13.49,13.69,13.69,2611190
2024-07-15,13.53,13.68,13.40,13.63,13.63,3075220
2024-07-12,13.56,13.60,13.49,13.57,13.57,3028434
2024-07-11,13.52,13.59,13.40,13.51,13.51,3396465
2024-07-10,13.41,13.45,13.23,13.44,13.44,3533912
2024-07-9,13.65,13.65,13.19,13.39,13.39,6360499
2024-07-8,13.48,13.94,13.47,13.56,13.56,6317269
2024-07-5,13.59,13.64,13.47,13.63,13.63,4624951
2024-07-4,13.38,13.69,13.36,13.56,13.56,5194746
2024-07-3,13.09,13.39,13.05,13.26,13.26,7646928
2024-07-2,13.05,13.09,12.91,12.97,12.97,6367331
2024-07-1,13.48,13.53,13.10,13.10,13.10,9531193
2024-06-28,12.94,12.95,12.66,12.74,12.74,9997035
2024-06-27,13.01,13.03,12.88,12.93,12.93,4361387
2024-06-26,13.18,13.19,12.86,12.98,12.98,6770937
2024-06-25,13.33,13.34,13.06,13.14,13.14,4851276
2024-06-24,13.04,13.34,13.04,13.28,13.28,4914558
2024-06-21,13.19,13.20,12.96,13.02,13.02,8676871
2024-06-20,12.97,13.23,12.94,13.19,13.19,5232642
2024-06-19,13.10,13.14,12.93,12.96,12.96,3860396
2024-06-18,13.10,13.19,12.89,13.05,13.05,5132311
2024-06-17,13.01,13.18,12.87,12.98,12.98,8038802
2024-06-14,13.30,13.31,12.69,13.03,13.03,18637626
2024-06-13,13.77,13.77,13.30,13.44,13.44,9371442
2024-06-12,13.79,14.01,13.77,13.78,13.78,9272833
2024-06-11,14.11,14.14,13.40,13.56,13.56,10364663
2024-06-10,14.16,14.16,13.90,14.11,14.11,10589307
2024-06-7,14.61,14.68,14.51,14.64,14.64,2609644
2024-06-6,14.56,14.68,14.38,14.60,14.60,3358324
2024-06-5,14.73,14.77,14.51,14.52,14.52,3733707
2024-06-4,14.85,14.88,14.56,14.72,14.72,4389831
2024-06-3,15.00,15.10,14.86,14.88,14.88,2625802
2024-05-31,14.86,14.93,14.84,14.93,14.93,7000206
2024-05-30,14.73,14.84,14.67,14.83,14.83,2890694
2024-05-29,14.85,14.88,14.65,14.74,14.74,12065483
2024-05-28,15.89,15.92,15.81,15.92,14.87,4270528
2024-05-27,15.82,15.88,15.76,15.85,14.81,2922678
2024-05-24,15.66,15.78,15.57,15.77,14.73,2770592
2024-05-23,15.72,15.74,15.63,15.73,14.69,2862682
2024-05-22,15.78,15.83,15.70,15.72,14.68,2981008
2024-05-21,15.85,15.85,15.61,15.77,14.73,4070294
2024-05-20,15.90,15.93,15.85,15.86,14.82,2213161
2024-05-17,15.61,15.86,15.61,15.84,14.80,4617852
2024-05-16,15.63,15.67,15.56,15.63,14.59,2638359
2024-05-15,15.71,15.73,15.58,15.64,14.61,3582086
2024-05-14,15.66,15.73,15.62,15.65,14.62,3038734
2024-05-13,15.52,15.69,15.52,15.62,14.59,4141827
2024-05-10,15.50,15.53,15.42,15.45,14.43,3464597
2024-05-9,15.44,15.52,15.37,15.43,14.41,2844127
2024-05-8,15.30,15.39,15.26,15.39,14.37,3521495
2024-05-7,15.00,15.30,15.00,15.27,14.27,5364038
2024-05-6,14.81,15.04,14.73,15.00,14.01,4566126
2024-05-3,14.89,15.23,14.76,14.77,13.80,8129082
2024-05-2,14.54,14.76,14.53,14.61,13.65,4177142
2024-04-30,14.56,14.64,14.54,14.55,13.59,3787909
2024-04-29,14.60,14.68,14.55,14.55,13.59,3980428
2024-04-26,14.55,14.70,14.54,14.56,13.60,5330648
2024-04-25,14.50,14.57,14.41,14.48,13.52,3958008
2024-04-24,14.40,14.60,14.38,14.45,13.50,5296349
2024-04-23,14.24,14.41,14.24,14.39,13.44,5776426
2024-04-22,14.08,14.28,14.05,14.22,13.28,5328078
2024-04-19,13.82,14.04,13.77,14.03,13.11,5411708
2024-04-18,13.74,13.91,13.73,13.90,12.99,4583296
2024-04-17,13.57,13.80,13.56,13.66,12.76,4745752
2024-04-16,13.64,13.64,13.47,13.57,12.67,6987088
2024-04-15,13.81,13.98,13.79,13.82,12.91,4645671
2024-04-12,13.88,13.95,13.73,13.76,12.85,5112352
2024-04-11,14.01,14.10,13.65,13.77,12.87,7698393
2024-04-10,14.12,14.18,13.95,14.05,13.12,4476949
2024-04-9,14.11,14.16,14.02,14.06,13.14,4030266
2024-04-8,14.12,14.23,14.10,14.13,13.20,4357891
2024-04-5,14.03,14.10,13.91,14.10,13.17,5860722
2024-04-4,14.07,14.24,14.07,14.15,13.21,4349102
2024-04-3,13.89,14.10,13.84,14.06,13.13,6169640
2024-04-2,13.76,13.98,13.76,13.88,12.96,5191695
2024-03-28,13.61,13.88,13.60,13.82,12.90,5518713
2024-03-27,13.54,13.64,13.43,13.58,12.68,3687613
2024-03-26,13.45,13.61,13.45,13.57,12.68,4441157
2024-03-25,13.43,13.46,13.33,13.40,12.51,2911047
2024-03-22,13.40,13.53,13.38,13.40,12.52,4209191
2024-03-21,13.36,13.47,13.30,13.40,12.52,5178920
2024-03-20,13.22,13.27,13.19,13.25,12.38,3364915
2024-03-19,13.13,13.34,13.13,13.24,12.37,4980526
2024-03-18,13.01,13.14,13.01,13.11,12.25,3480553
2024-03-15,13.03,13.06,12.92,13.02,12.16,18313675
2024-03-14,12.97,13.09,12.93,13.04,12.18,3940534
2024-03-13,12.98,13.05,12.94,12.99,12.13,4064594
2024-03-12,12.91,13.03,12.90,12.94,12.09,4872958
2024-03-11,12.70,12.88,12.69,12.88,12.03,3641463
2024-03-8,12.82,12.88,12.74,12.77,11.93,3612566
2024-03-7,12.52,12.85,12.52,12.80,11.96,6553560
2024-03-6,12.56,12.63,12.52,12.54,11.71,3844000
2024-03-5,12.53,12.60,12.46,12.56,11.74,3764634
2024-03-4,12.58,12.60,12.51,12.60,11.77,3017536
2024-03-1,12.57,12.65,12.53,12.60,11.77,3346723
2024-02-29,12.58,12.62,12.52,12.52,11.69,5102290
2024-02-28,12.56,12.60,12.53,12.57,11.74,3321417
2024-02-27,12.46,12.56,12.45,12.52,11.69,2631923
2024-02-26,12.51,12.54,12.39,12.46,11.64,4160743
2024-02-23,12.52,12.56,12.43,12.55,11.72,5260335
2024-02-22,12.60,12.70,12.56,12.59,11.76,4276593
2024-02-21,12.46,12.56,12.45,12.52,11.69,3656534
2024-02-20,12.36,12.47,12.34,12.44,11.62,4481319
2024-02-19,12.22,12.41,12.22,12.36,11.55,4079975
2024-02-16,12.29,12.34,12.23,12.23,11.42,3750516
2024-02-15,12.25,12.29,12.12,12.23,11.42,4396351
2024-02-14,12.16,12.29,12.13,12.20,11.40,6273415
2024-02-13,12.23,12.27,12.12,12.20,11.40,4970994
2024-02-12,12.29,12.31,12.19,12.23,11.42,5601673
2024-02-9,12.33,12.50,12.18,12.21,11.40,7035480
2024-02-8,12.56,12.60,12.14,12.34,11.53,17197127
2024-02-7,13.02,13.08,12.87,13.02,12.16,6857176
2024-02-6,13.10,13.15,13.02,13.07,12.20,4739104
2024-02-5,13.26,13.37,13.03,13.06,12.19,3928998
2024-02-2,13.04,13.17,12.99,13.14,12.27,4487734
2024-02-1,13.13,13.15,12.86,12.94,12.08,7556048
2024-01-31,13.32,13.40,13.29,13.31,12.43,5074080
2024-01-30,13.26,13.35,13.23,13.31,12.43,2945679
